2025-05-20 15:00:43,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:43,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:43,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:44,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:00:45,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:00:46,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:46,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:52,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:00:52,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:00:53,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:00:53,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:00:53,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:53,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:54,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:00:54,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:00:55,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:55,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:55,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:55,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:00:57,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:00:57,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:00:58,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:00:58,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:04,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:05,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:05,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:06,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:06,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:06,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:06,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:07,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:07,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:07,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:07,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:07,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:09,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:09,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:10,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:10,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:17,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:18,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:18,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:19,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:19,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
